name,year,type
ExploitKit.Eleonore.1.4.4,2014,exploitkit
NBot,2008,botnet
diesel,2000,trojan
dissolution,2003,virus
PowerLoader,2013,botnet
yonggary,2001,virus
xTBot0.0.2,2012,botnet
duovit,2005,virus
HellBotv3.0,2005,botnet
Combat,1996,virus
ExploitKit.BlackHole.100,2012,exploitkit
ExploitKit.BlackHole.102,2012,exploitkit
p-adic,2002,virus
Nanomites,2005,virus
Zombie.32,1999,virus
KINS,2011,trojan
bv3,1987,virus
sabia,2000,virus
vbBot,2005,botnet
Yobe,1999,virus
prc-ko,2005,virus
vera,2007,virus
Obsidian,2003,worm
fag,2005,virus
Rammstein,2000,virus
gibraltar_monkey,2000,virus
chthon,2001,virus
Win32.ogw0rm,2008,worm
tereza,2005,virus
infancy,2001,virus
bagle,2004,worm
Cairuh,2009,worm
ShadowBot,2008,botnet
cermalus,2007,virus
babylonia,1999,virus
Alina,2013,trojan
a443,2002,virus
Zeus,2007,trojan
supervixen,2014,virus
Chainsaw,2000,worm
krized,1999,virus
Antares,2007,virus
ordy,2000,virus
Rudra,2001,virus
clt20,2013,virus
bullmoose,2009,trojan
lotek,2000,virus
Gift,1998,worm
xtail,2008,virus
h8urnmes,1995,virus
Kekule,2006,worm
Energy,2000,worm
idele,2000,virus
relock,2007,virus
weird,1999,virus
pica,2001,virus
Grifin,2002,worm
Dexter,2012,trojan
Tapakan,2001,virus
anticaro,1996,virus
7son4,1994,virus
7son2,1994,virus
vit,1999,virus
Beavis,1993,virus
TinyBanker,2012,trojan
ExploitKit.Fragus,2009,exploitkit
DBotv3.1,2007,botnet
purplecat,2008,virus
m1,1998,virus
siilov,1999,virus
zorm,1998,virus
breathe,2006,virus
bombast,2011,virus
PlasmaHTTP,2014,trojan
stutter,2007,virus
XTC,2000,worm
PGPMorf2,1998,virus
tirannis,2005,virus
arches,2006,virus
brundle,2001,virus
kody,1999,virus
lacrimae30,2008,virus
Nicole,2001,virus
nuxbee,2002,virus
Taichi,2002,virus
pirus,2000,virus
Beagle,2004,botnet
Tinba,2014,trojan
DopeBotv0.22_Crippled,2007,botnet
cairuhb,2009,worm
RedTeam,1997,virus
Apocalyptic,1996,virus
disillu,1994,virus
Blaster,2003,worm
greenpeace,1999,virus
ExploitKit.CrimePack.3.1.3,2011,exploitkit
OU812,2001,virus
rapeme,2006,virus
fv,2004,virus
shaitan,1998,virus
thorin,1999,virus
rBot0.3.3,2004,botnet
ExploitKit.0x88,2014,exploitkit
Anarxy,2001,worm
hasher,2007,virus
Eddie,1989,virus
Solaris,2002,virus
Grum,2008,botnet
benny,1999,virus
fiasko,1999,virus
ZunkerBot1.4.5,2007,botnet
ANIMAL,1975,trojan
matrix817,2000,virus
lychan,2007,virus
ciliophora,2010,virus
h2t3,2008,virus
iceheart,1999,virus
AIDS,1989,virus
MorrisWorm,1988,worm
wormlabs,2010,worm
mutt,2000,virus
w9x-tiny,2000,virus
oldschool,2007,virus
n-xeram,2004,virus
BeGemot,1999,virus
DopeBotv0.22_UnCrippled,2007,botnet
woolien,2002,trojan
arian,2006,virus
esenin,2005,trojan
ls,2000,virus
clt,2006,virus
Omoikane,2002,virus
biennale,2001,virus
Asexual,1993,virus
X0R-USB,2009,trojan
Teocatl,1998,macro
Sasser,2004,worm
Hexbot2,2009,trojan
futhorca,2003,virus
dido,2001,virus
futhorcb,2003,virus
mars2,2009,virus
Rat,1992,virus
aguilerab,2002,virus
chaos-ad,1995,virus
Anthrax,1990,virus
analbeeds,2004,virus
annigilator,2005,virus
Rainbow,2003,virus
NullBot,2006,trojan
ElkCloner,1982,virus
Cabanas,1997,virus
machoman,2006,virus
Gripb,2005,virus
Zelda,2000,worm
XtremeRAT,2009,RAT
halen,2001,virus
golem,2009,virus
Andromeda,2014,trojan
adhocb,2003,virus
adhoca,2003,virus
blacky,2005,virus
iamsick,2004,virus
ehomer,1994,virus
Nemesi,1999,virus
carcass,1999,virus
boobs,1997,virus
Macbet,2006,worm
CSV,1997,virus
dammit,2000,virus
z0mbie6b,2000,virus
z0mbie6a,2000,virus
Carberp,2010,trojan
avpaids,1996,virus
resvir1,1993,virus
hooy,2000,virus
Mydoom,2004,worm
Ch0lera,1998,worm
ExploitKit.Sakura,2012,exploitkit
cris,2006,worm
Diamond,1990,virus
2fu,2005,virus
littlepain,2000,worm
hllexmpl,2000,virus
metaphor1d,2004,virus
spein,2005,virus
Galicia,1996,virus
Spieluhr,2005,trojan
harulf,2007,virus
yildiz,2000,virus
juli,2010,virus
trivial_1,2001,virus
regswap,1999,virus
binom,2004,virus
OmegaRat,2014,RAT
Mworm,2001,worm
Dichotomy,1994,virus
netsky_ae,2004,worm
blackbat,1999,virus
Tahorg,2003,virus
nihilit,2003,virus
lucius,2007,virus
Seraph,2003,virus
Kroshkaenot,2005,virus
Bluelightening,1995,virus
Fabi2,1999,virus
Numberone,1987,virus
Vampiro,2002,virus
reise,2009,virus
ExploitKit.Phoenix.2.5,2011,exploitkit
loki,2006,virus
DW,2002,virus
totaltrash,1996,virus
hushabye,2007,worm
BatzBack,2008,worm
gripa,2005,virus
W2KInstaller,2000,virus
Thunderbyte,1992,virus
atix,2010,virus
Digitisedparasite,1994,virus
etymo-crypt,2000,virus
herderv,2004,virus
probeb,2001,virus
charm,2006,virus
examplo_lde,2001,virus
vlpi,1997,virus
dob,2001,virus
prometheus,2006,virus
elysium,2004,virus
voodoo,1999,virus
Jollyroger,2004,virus
z0mbie10,2001,virus
probe,2001,virus
zhengxi,1995,virus
anthrax_iac,2008,virus
DopeBot.B,2004,botnet
GhostRAT,2007,RAT
DopeBot.A,2004,botnet
merlin,2000,virus
simpleepo,2006,virus
dlhello,2003,virus
Caribe,2004,worm
hiv,2000,virus
ismiddle,2000,virus
Virus11,1986,virus
siamexe,2004,virus
PC-RAT,2011,RAT
Mirai,2016,botnet
firstborn,2002,virus
cih14,1998,virus
cih15,1998,virus
cih12,1998,virus
cih13,1998,virus
hunatchab,2010,worm
leviathan,1999,virus
Jupiter,1996,virus
Anaphylaxis,1998,worm
hiewg,2009,virus
spork,2002,virus
legacy,1999,virus
YLANG,1999,virus
Staog,1996,virus
Pony2,2013,trojan
Babylon,1999,virus
SpyNet,2014,RAT
seiryo,2002,virus
PieceByPiece,2002,worm
boundary,2006,virus
tp_com,1997,virus
LoexBot1.3,2008,botnet
WrathRage,2005,worm
CyberBotv2.2,2006,botnet
cjdisease,2003,virus
Dokan,2008,trojan
ACME,1992,virus
Rubilyn,2014,rootkit
tlb,2000,virus
Gemini,2002,virus
Efishnc,2002,virus
csmall,2003,virus
delirium,2002,virus
DarkApocalypse,1993,virus
z0mbie10c,2001,virus
z0mbie10b,2001,virus
skipo,2009,virus
leon,2007,virus
z0mbie10d,2001,virus
Win32.MiniPig,2006,botnet
Batvir,1994,virus
lildevil,2002,virus
Win32.Remhead,2014,trojan
Rushrour,1986,virus
retv,2008,virus
retal10,2014,virus
Rinim,1999,virus
elsa,2000,worm
Assiral,2005,worm
acurev,1998,virus
Blackhand,2005,virus
Harrier,1997,virus
v0lk,2005,botnet
pgpmorf1,1998,virus
trick,1997,virus
Junkmail,2002,virus
Mimail,2003,worm
ExploitKit.RIG,2014,exploitkit
Shrug,2004,virus
Demonhyak,1991,virus
rit,2008,virus
fosforo,1999,virus
balrog,2004,virus
Rovnix,2014,trojan
ExploitKit.Sava,2011,exploitkit
Friendly,2005,virus
Athena,2015,trojan
tristesse,2004,virus
hunatcha,2010,worm
branko,2010,virus
inca,1998,virus
Ston,2006,worm
android,1997,virus
AryanRAT,2010,RAT
h2t3_bf,2008,virus
palmas,2003,virus
nomov,1999,virus
ShadowBotv3,2007,botnet
Androrat,2012,RAT
infinite,2000,virus
Dream,2000,virus
ikee,2009,worm
IISWorm,1999,worm
crossinfector,2005,virus
Bluenine,1994,virus
orochi,2000,virus
808,1991,virus
BshadesFusion,2012,trojan
LiquidBot,2005,botnet
gildo,2004,virus
nemox,2004,virus
atomic,1994,virus
anunnaki,2009,virus
Eternity,2005,virus
manpage,1999,virus
perseid,2009,virus
V6000,1997,virus
caline,2004,virus
Zemra,2011,botnet
segax,2000,virus
joss,2002,virus
easter,1998,virus
tunderbyte,1992,virus
Netsky,2004,worm
zhello,1998,virus
Examplo,2000,virus
SharpBot,2013,RAT
Marburg,1998,virus
amon,2004,virus
EngRat.0.1.0,2015,RAT
Tuareg,2000,virus
ExploitKit.BleedingLife.2,2010,exploitkit
Ketamine,2001,virus
MyDoom.A,2004,worm
carume,2006,virus
creed,1999,virus
Mars,1996,virus
4096,2003,virus
Prizzy,1999,virus
SpazBot2.12,2007,botnet
Gurdof,2006,worm
ILOVEYOU,2000,worm
paradoxon,2004,virus
Pilif,2004,worm
Troodon,2000,worm
norther,2004,worm
gaara,2007,worm
santy,2004,worm
zymosis,2007,worm
RCE285,1995,worm
silvio,1999,worm
clibo,2010,trojan
valium,2005,worm
Bvs,1987,worm
califax,1998,worm
egalite,2005,worm
Mazar,2016,botnet
Demiurg,1999,virus
RousSarcoma,1999,virus
Ramlide,2002,virus
Beetle,2013,virus
yelet,1998,virus
hatred,1999,virus
winux,2001,virus
rce385,1995,virus
Milennium,2000,virus
luna,2010,virus
Plexar,2001,virus
divinorum,2007,virus
dnl12,2010,virus
dataseg,2004,virus
Simile,2002,virus
relx,2009,virus
cleevix,2005,virus
Proto-t,1992,virus
nova,2009,virus
start,1998,virus
sepboot,1995,virus
BO2K,2007,RAT
bonk32,1998,virus
vulcano,1999,virus
VBS.Win32.Vabian,2007,macro
isis,2002,virus
Hidan,2005,virus
Lexotan,2002,virus
glaurung2k,2000,virus
Egypt,2005,virus
Gopnik,2014,botnet
impute,2013,virus
z0mbie4d,2000,virus
z0mbie4c,1999,virus
z0mbie4b,1999,virus
Pupy,2015,RAT
Icecubes,2000,worm
CIA,1989,virus
wormwood,2001,virus
cyneox,2004,virus
1200,1998,virus
knork,1999,virus
Shiver,1998,macro
subsist,2010,virus
Melissa,1999,macro
Tormentor,1991,virus
kalamarai,2000,virus
Dendroid,2014,RAT
minir3b,2002,virus
triplix,2003,virus
42,2008,virus
keyhackbat,2002,virus
Badbrains,1991,virus
ZIB-Trojan,2015,trojan
elfinfect,2003,virus
zipworm,2000,worm
z0mbie4,1999,virus
z0mbie5,2000,virus
newstar4,2009,worm
z0mbie7,2000,virus
z0mbie1,1997,virus
z0mbie2,1998,virus
z0mbie3,1999,virus
ZMist,2002,virus
hidrofobus,2006,virus
z0mbie8,2000,virus
Nakedtruth,1993,virus
Plague2000,1998,worm
pestilence,2009,virus
mimix,2008,virus
nf3ct0r,2004,virus
